,coef,std err,z,P>|z|,Conf. Int. Low,Conf. Int. Upp.
EJ2(3)_J2.het,-0.7341435188406913,0.19024670918155115,-3.8589025902156506,0.00011389732079548159,-1.107020217013797,-0.3612668206675854
EJ2(4)_PLT3.het,0.11783145253946835,0.16717149471927292,0.7048537356045053,0.48090126384115794,-0.2098186563520344,0.4454815614309711
EJ2(4)_PLT7.het,-0.0875884616010228,0.043819561185936495,-1.9988438777231192,0.04562524862875187,-0.1734732233438076,-0.0017036998582379975
EJ2(4)_J2.het,-0.8154422102891098,0.20309320328881214,-4.015113243989245,5.9417258729571103e-05,-1.2134975742400531,-0.41738684633816636
EJ2(1)_PLT3.het,-0.05257918946989671,0.10106468449956885,-0.5202528433175984,0.6028873586742332,-0.2506623311979551,0.14550395225816168
EJ2(1)_PLT7.het,-0.1086525335626077,0.13530381229809574,-0.8030264019703226,0.4219594746076243,-0.37384313263784297,0.15653806551262758
EJ2(1)_J2.het,-0.7003169380972711,0.11013886217762439,-6.358490765664967,2.037456310227041e-10,-0.9161851412636357,-0.48444873493090657
EJ2(7)_PLT3.het,-0.03601479403757924,0.1764688469654161,-0.20408584663466028,0.8382864143258599,-0.38188737848310517,0.3098577904079467
EJ2(7)_PLT7.het,-0.08758846160102278,0.04381956118593648,-1.9988438777231194,0.04562524862875185,-0.17347322334380755,-0.0017036998582380114
EJ2(7)_J2.het,-0.4364318580262054,0.24418688266906138,-1.7872862508248955,0.07389123508486768,-0.9150293535546736,0.04216563750226282
EJ2(8)_PLT3.het,-0.09476010622461223,0.10972531710678769,-0.8636120516506604,0.38780104146713257,-0.3098177759461528,0.12029756349692833
EJ2(8)_PLT7.het,-0.3036179297215146,0.1585662344569414,-1.9147703845105932,0.05552179290670811,-0.6144020384212538,0.007166178978224691
EJ2(8)_J2.het,-0.5865258799189934,0.11351932497049266,-5.166749186285687,2.38200563792015e-07,-0.8090196684104575,-0.36403209142752935
EJ2(6)_PLT3.het,0.22469112217946058,0.11521232939104632,1.9502350431335203,0.05114811080967862,-0.0011208940019557523,0.4505031383608769
EJ2(6)_PLT7.het,-0.08758846160102417,0.04381956118593648,-1.9988438777231512,0.0456252486287484,-0.17347322334380894,-0.0017036998582393992
EJ2(6)_J2.het,-0.9173122530820502,0.12834062442401292,-7.147481611523299,8.838435501757384e-13,-1.1688552547064972,-0.6657692514576032
PLT3.het_PLT7.het,-0.75556801294951,0.08682444745414022,-8.702249597944096,3.25368985731907e-18,-0.9257408029372153,-0.5853952229618048
PLT3.het_J2.het,-0.008501568446834303,0.05633758042204687,-0.1509040392424688,0.8800514141239284,-0.11892119705017502,0.10191806015650641
PLT7.het_J2.het,0.18060120422203293,0.08660308046810367,2.0853900721066063,0.0370339072838755,0.010862285554325557,0.3503401228897403
PLT3.het_EJ2(3).het,0.049201984756603784,0.1374608670472701,0.3579344857448352,0.7203923422625084,-0.22021636393969432,0.31862033345290186
PLT3.het_EJ2(4).het,0.27817186801776883,0.14291040666334515,1.946477338582206,0.05159742748414475,-0.0019273820583606271,0.5582711180938983
PLT3.het_EJ2(1).het,-0.08842433292113747,0.09146304825224283,-0.9667765792943507,0.33365573500667767,-0.2676886134117825,0.09083994756950761
PLT3.het_EJ2(7).het,-0.1661062841551033,0.1599305174917843,-1.0386153109498708,0.2989836821300621,-0.4795643384678537,0.14735177015764706
PLT3.het_EJ2(8).het,-0.007498590198710693,0.09197203664852213,-0.08153119656757309,0.9350195161819386,-0.187760469614612,0.17276328921719064
PLT3.het_EJ2(6).het,0.046907889241604744,0.10229376758793161,0.45856057849548626,0.646549751079255,-0.15358421107365194,0.24739998955686143
PLT7.het_EJ2(3).het,-0.5447394163836207,0.2013117938139489,-2.7059488471254967,0.0068109536399956925,-0.9393032819221138,-0.15017555084512757
PLT7.het_EJ2(1).het,-0.09622082804272314,0.1253693160159744,-0.7674990268788162,0.44278487154781765,-0.34194017220045353,0.14949851611500725
PLT7.het_EJ2(8).het,0.12335756663103792,0.12351866820681014,0.9986957309521627,0.31794210933643796,-0.11873457447266256,0.3654497077347384
J2.het_EJ2(3).het,0.1255056687923227,0.17354654379829804,0.7231816090684574,0.4695683161331178,-0.2146393066937445,0.46565064427838987
J2.het_EJ2(4).het,0.16384120197661428,0.16897989489770102,0.9695899152724786,0.3322509416897492,-0.16735330613424337,0.49503571008747194
J2.het_EJ2(1).het,-0.025688576254117322,0.09792492678046932,-0.26232928732953403,0.793067584405005,-0.21761790593255903,0.16624075342432437
J2.het_EJ2(7).het,0.04215878719407002,0.19524616704871062,0.21592632434905681,0.8290451772290656,-0.34051666834089384,0.42483424272903386
J2.het_EJ2(8).het,-0.04624179899866396,0.09369023233296207,-0.49356051156247566,0.6216165946303823,-0.2298712800744597,0.13738768207713178
J2.het_EJ2(6).het,0.013956758745323095,0.11787908529494089,0.11839893998500589,0.9057515656414842,-0.21708200296328614,0.24499552045393233
